node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
116,116,28.171634,-82.211199,3,0.0001735401681622,44,0.2595211255845023,0.1618236472945891,0.4953058895568915,0.2781641129481185,0.4513556279225117,-0.1628556992459605
117,117,36.0632118,-80.3085155,5,0.0002308907267239,8,0.1027449343130706,0.1246938321086617,0.46082860164774,0.1144312653083945,0.2677292084168337,-0.11840142092871721
118,118,31.2774089,-85.4646982,3,6.49336743273772e-05,26,0.2199153863282119,0.3411684480071253,0.4559516254731686,0.2691126002004007,0.3486759630371855,-0.1716538796809129
119,119,33.3310375,-86.8162009,8,0.0032812962456116,52,0.0247977900244934,0.014542974838566,0.5077361667780005,0.037117951180138,0.0867443219772879,0.10735795181256179
120,120,27.5938662,-82.052772,2,2.7833832022823745e-05,44,0.4490305611222445,0.5143342240035627,0.5102435426408373,0.3469497119238477,0.4575598419060342,-0.19769652925843717
121,121,41.6589304,-87.5105354,7,0.0007082758485404,39,0.0379500668002672,0.0455772656423959,0.4456702293475841,0.06233987419283,0.0633890002226675,0.035912912516976786
122,122,31.160036,-81.49088,4,0.0002504858946137,75,0.111355349588065,0.1152026274771765,0.5370415831663328,0.1296929553551547,0.1905928523714095,-0.20743530061741275
123,123,35.9213658,-83.8725509,3,4.55087758628018e-07,58,0.3061635771543086,0.6372327989311958,0.479563293253173,0.5367423527610775,0.2452038799821866,0.09618271363466879
124,124,42.3360745,-85.1436598,9,0.0012041233306776,25,0.0116830883990202,0.0295034513471387,0.5079696893787575,0.0274496492985972,0.0762348307726564,0.2079764047020452
125,125,35.0115596,-84.0612766,3,2.79165993302649e-05,63,0.3938330828323313,0.4906618793141839,0.4922979291917168,0.3992504870852816,0.5602694277443777,-0.04124507662726701
126,126,32.3497844,-90.0549382,2,5.506537822113132e-06,66,0.5654990536628813,0.6180694722778891,0.4788755288354487,0.6121900954687153,0.4844704687152082,0.06781270079679558
127,127,28.4124599,-81.4209118,3,7.939055084214237e-07,3,0.445600089067023,0.6336283678468048,0.4889185315074594,0.4166626586506347,0.3303324704965486,-0.023798766117669456
128,128,40.7131278,-75.5181202,18,0.0018965299247103,9,9.087619683812067e-05,0.0209029169450011,0.5415041193498108,0.0104391769650411,0.0380779614785125,1.1250968398976096
129,129,32.5482291,-85.6665829,3,0.0002526286406783,60,0.4076035404141616,0.1143397906924961,0.5206301491872635,0.4296287435983077,0.3709249053662881,-0.011545010221186314
130,130,38.9585888,-80.5653497,2,5.8057655330328045e-05,50,0.7225624860832777,0.353999665998664,0.510162547316856,0.6981976383322198,0.6911570362948118,0.15367512007012352
131,131,39.2042502,-75.5710746,3,8.154202725587955e-06,27,0.509537129815186,0.6119600311734581,0.5122650857270096,0.4775203740814964,0.1846456802493876,0.03706491579486898
132,132,40.8012183,-75.1286414,3,4.0514338528709587e-07,9,0.406501336005344,0.6381095524382098,0.5388636996214651,0.5184594814629259,0.6806691160097974,0.07787107304487761
133,133,31.3360325,-89.2733642,3,1.409172326311891e-05,67,0.7444276052104208,0.5900690269427744,0.4932119795145847,0.6921382626363839,0.7097855433088399,0.2516924381702825
134,134,35.4675383,-84.5866128,9,0.0007523198093977,58,0.0115396069917613,0.043378423513694,0.4873907537296815,0.0294307364729458,0.034689796259185,0.21098885436186404
135,135,41.6533732,-83.6100433,5,0.0002792491847616,16,0.0374405755956357,0.1040692496103317,0.46895568915609,0.0728158191382765,0.1553431863727455,-0.16025471943550348
136,136,38.1004235,-97.9031127,2,5.559212757941804e-05,35,0.7202986528612781,0.3993960142507237,0.5222984858606101,0.6940743779225118,0.6339073981295926,0.1493155640071182
