node,adap_degree,betweenness,degree,random,seamless_mavg
162,0.5241811278822113,0.2921566811741828,0.2139827761829799,0.4685561626076488,0.5029101120474118
163,0.6747935919992593,0.49713862394666175,0.21400129641633484,0.4825683859616631,0.6306371701083433
164,0.6391258449856468,0.2277803500324104,0.21401981664968978,0.4935310676914529,0.6177660246319105
165,0.2966680248171127,0.011426983979998149,0.07939624039262895,0.4978005370867673,0.36288874895823686
166,0.4623928141494583,0.011389943513288267,0.07941476062598389,0.5024428187795167,0.39778299842578013
167,0.7355477359014724,0.8453745717196037,0.21403833688304472,0.5373297527548847,0.6825966015371793
168,0.4528345217149736,0.22983609593480878,0.21405685711639966,0.5060238911010279,0.4637711362163164
169,0.5081150106491341,0.23183628113714233,0.2140753773497546,0.46517047874803225,0.5090653208630429
170,0.5585067135845911,0.9142698397999814,0.21409389758310954,0.5064822668765626,0.5678572275210668
171,0.40315510695434764,0.8848597092323364,0.21411241781646448,0.5034903231780721,0.42311351051023244
172,0.6135479211038058,0.836577460876007,0.21413093804981942,0.5009439762941014,0.5559032040003704
173,0.50717714603204,0.23363274377257154,0.21414945828317436,0.5058196129271229,0.504821705713492
174,0.5166191314010556,0.6240207426613575,0.2141679785165293,0.5276245948698953,0.4922910639874062
175,0.5176249652745625,0.5881285304194833,0.21418649874988424,0.5249082322437263,0.49911412167793323
176,0.5049891656634874,0.5561811278822113,0.21420501898323918,0.48928160014816185,0.5032692841929809
177,0.5301689045281971,0.6201314936568201,0.21422353921659412,0.5241739049912029,0.511263079914807
178,0.5203339198073896,0.5290675062505787,0.21424205944994906,0.4789441614964349,0.4964929808315586
179,0.5273164181868691,0.5048615612556718,0.214260579683304,0.5063187332160385,0.5023449115658856
180,0.5145048615612556,0.48348921196407074,0.21427909991665894,0.4958316510788036,0.5065648485970924
181,0.49493119733308644,0.4645800537086767,0.21429762015001388,0.4699431428836004,0.4964596073710529
182,0.5204678210945458,0.4485230113899435,0.21431614038336882,0.560290582461339,0.5155338549865729
183,0.4985706083896657,0.19068432262246504,0.07943328085933883,0.4770399111028799,0.5000124826372813
184,0.5074747661820539,0.4200203722566904,0.21433466061672377,0.4963396610797296,0.5098639688860078
185,0.4882861376053338,0.433484581905732,0.2143531808500787,0.4899696268172979,0.49961111214001297
186,0.5160892675247708,0.4085378275766275,0.21437170108343365,0.4854927308084082,0.4989055838503565
187,0.47626224650430593,0.39796277433095656,0.2143902213167886,0.45438966570978795,0.5050503472543755
188,0.7314593943883694,0.9488841559403649,0.9574219835169924,0.4804272617834984,0.7123080840818593
